name,url,interval_sec
Investing - General News,https://www.investing.com/rss/news_1.rss,60
Investing - Earnings Reports,https://www.investing.com/rss/news_1062.rss,60
Investing - Insider Trading,https://www.investing.com/rss/news_357.rss,60
Investing - Economic Indicators,https://www.investing.com/rss/news_95.rss,60
Investing - Economy,https://www.investing.com/rss/news_14.rss,60
ForexLive,https://www.forexlive.com/feed,20
WSJ - Opinion,https://feeds.content.dowjones.io/public/rss/RSSOpinion,90
WSJ - World News,https://feeds.content.dowjones.io/public/rss/RSSWorldNews,90
WSJ - Market News,https://feeds.content.dowjones.io/public/rss/RSSMarketsMain,90
Federal Reserve - Speeches,https://www.federalreserve.gov/feeds/speeches_and_testimony.xml,180
Federal Reserve - Press Releases,https://www.federalreserve.gov/feeds/press_all.xml,180
ECB - Press,https://www.ecb.europa.eu/rss/press.html,180
